ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,Side,City,County,Zipcode,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Start_Year,Start_Month,Start_Dayofweek,Start_Hour,Fog,Rain,Heavy_Rain,Light_Rain,Snow
A-169547,MapQuest,201,3,2017-01-13 11:55:00,2017-01-13 13:00:00,38.655407000000004,-90.448257,0.01,Right lane blocked due to accident on I-270 Northbound at Exit 13 MO-AB.,Ladue Rd,R,Saint Louis,St. Louis County,63141,28.0,18.6,75.0,30.68,10.0,NE,10.4,0.01,Light Freezing Rain,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,4,11,0,0,0,0,0
A-169549,MapQuest,201,3,2017-01-13 12:09:00,2017-01-13 12:38:00,38.672077,-90.44928,0.01,Right hand shoulder blocked due to accident on I-270 Northbound before MO-340 Olive Blvd.,Olive Blvd,R,Saint Louis,St. Louis County,63141,28.0,18.6,75.0,30.68,10.0,NE,10.4,0.01,Light Freezing Rain,0,0,0,0,0,0,0,0,0,1,0,Day,2017,1,4,12,0,0,0,0,0
A-169564,MapQuest,201,3,2017-01-13 17:12:00,2017-01-13 17:42:00,38.767193,-90.201828,0.01,Accident on I-270 Eastbound at Exit 33 Lilac Ave.,I-270 E,R,Saint Louis,St. Louis County,63137,30.9,22.8,82.0,30.58,8.0,ENE,9.2,0.0,Overcast,0,0,0,0,0,0,0,0,0,0,0,Night,2017,1,4,17,0,0,0,0,0
A-169580,MapQuest,201,3,2017-01-14 06:57:00,2017-01-14 07:26:00,38.770027,-90.406715,0.01,Accident on I-270 Westbound at Exits 22B 22B-A MO-370.,I-270 S,R,Bridgeton,St. Louis County,63044,33.1,26.9,89.0,30.52,6.0,NNW,6.9,0.01,Overcast,0,0,0,0,0,0,0,0,0,0,0,Night,2017,1,5,6,0,0,0,0,0
A-169582,MapQuest,201,3,2017-01-14 07:15:00,2017-01-14 07:44:00,38.79834,-90.591133,0.01,Right hand shoulder blocked due to accident on I-70 Eastbound after Exit 224 MO-370.,I-70 W,R,Saint Peters,St. Charles,63376,32.0,27.5,96.0,30.52,10.0,North,4.6,0.0,Overcast,0,0,0,0,0,0,0,0,0,0,0,Night,2017,1,5,7,0,0,0,0,0
A-169601,MapQuest,201,3,2017-01-15 04:33:00,2017-01-15 05:21:00,38.719685,-90.33206899999999,0.01,Right hand shoulder blocked due to accident on I-170 Northbound at Exit 6 MO-115 Natural Bridge Rd.,I-170 N,R,Saint Louis,St. Louis County,63134,33.1,26.9,85.0,30.54,3.0,NNE,6.9,0.01,Light Freezing Rain,0,0,0,0,0,0,0,0,0,0,0,Night,2017,1,6,4,0,0,0,0,0
A-169603,MapQuest,245,3,2017-01-15 07:37:00,2017-01-15 08:07:00,38.688713,-90.251297,0.01,Two lanes blocked due to accident on I-70 Westbound before Exit 244A Bircher Blvd.,I-70 W,R,Saint Louis,St. Louis City,63120,33.1,27.7,89.0,30.4,3.0,NE,5.8,0.03,Light Rain,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,6,7,0,0,0,1,0
A-169633,MapQuest,201,3,2017-01-16 08:47:00,2017-01-16 09:32:00,38.801804,-90.651703,0.01,Right lane blocked due to accident on I-70 Westbound before Exit 220 MO-79 Salt Lick Rd.,Highway 79,R,O Fallon,St. Charles,63366,42.1,37.1,100.0,30.11,0.8,ESE,8.1,0.0,Overcast,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,0,8,0,0,0,0,0
A-169840,MapQuest,201,3,2017-01-19 09:44:00,2017-01-19 10:13:00,38.525158000000005,-90.398514,0.01,2 left lane closed due to accident on I-270 Northbound after Gravois Rd.,Gravois Rd,R,Saint Louis,St. Louis County,63127,45.0,43.5,90.0,29.93,7.0,SSE,3.5,0.01,Overcast,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,9,0,0,0,0,0
A-169841,MapQuest,201,3,2017-01-19 09:43:00,2017-01-19 10:12:00,38.596626,-90.216034,0.01,Right hand shoulder blocked due to accident on I-55 Northbound after Arsenal St / 13th St.,I-55 N,R,Saint Louis,St. Louis City,63118,45.0,41.2,86.0,29.89,6.0,East,6.9,0.01,Light Rain,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,9,0,0,0,1,0
